document_id	question	answer	difficulty
/languages/Mandarin_language.txt	Which language replaced the Literary Chinese during New Culture Movement?	vernacular Chinese	M
/languages/Mandarin_language.txt	What is the written form of Standard Chinese in Taiwan?	traditional characters	M
/languages/Mandarin_language.txt	Which country starts to increasingly use simplified characters among younger generations?	Malaysia	M
/languages/Mandarin_language.txt	What is the reason that causes northern China to have relative linguitsic homogeneity?	North China Plain has few barriers to migration	M
/languages/Mandarin_language.txt	Which place in northeast China received signnificant settlements by Han Chinese before 18th Century?	Liaoning	M
/chinese_dynasties/Liang_dynasty.txt	What was preceeded by the Southern Qi dynasty and succeeded by the Chen dynasty?	Liang	H
/chinese_dynasties/Liang_dynasty.txt	Liang dynasty was preceeded by the Southern Qi dynasty and succeeded by which dynasty?	Chen	H
/chinese_dynasties/Liang_dynasty.txt	Who deposed and kill Xiao Zhengde inn 549?	Hou Jing	H
/chinese_dynasties/Liang_dynasty.txt	Who was put under house arrest by Hou Jing in 549?	Emperor Wu	H
/chinese_dynasties/Liang_dynasty.txt	Who dismissed the armies in the name of Emperor Wu?	Hou Jing	H
/chinese_dynasties/Liang_dynasty.txt	Who destroyed the dynasty created by Hou?	Xiao Yi	H
/chinese_dynasties/Liang_dynasty.txt	Did Xiao Yi return to JianKang?	No	H
/chinese_dynasties/Liang_dynasty.txt	Why did Xiao Yi allied with Western Wei?	To eliminate Xiao Ji	H
/chinese_dynasties/Liang_dynasty.txt	Who was the last emperor of Liang?	Xiao Xian	H
/chinese_dynasties/Jin_dynasty_(266–420).txt	Who founded Jin dynasty?	Sima Yan	H
/chinese_dynasties/Jin_dynasty_(266–420).txt	When was the War of the Eight Princes erupted?	291	H
/chinese_dynasties/Jin_dynasty_(266–420).txt	Was Cao Wei ended before Eastern Wu?	Yes	H
/chinese_dynasties/Jin_dynasty_(266–420).txt	Who reestablished the Jin government at Jiankang?	Sima Rui	H
/chinese_dynasties/Northern_Wei.txt	Was Northern Wei the second of the Northern dynasties?	No	H
/chinese_dynasties/Northern_Wei.txt	Who created the Song dynasty?	Emperor Wu	H
/chinese_dynasties/Northern_Wei.txt	What was Mingyuan's plan to invade Song?	seize Luoyang, Hulao, Huatai	H
/chinese_dynasties/Shang_dynasty.txt	Did Shang dynasty formed in the generation of Xie?	No	H
/chinese_dynasties/Shang_dynasty.txt	Were there any known body of Chinese writings found after 1930s?	Yes	H
/chinese_dynasties/Shang_dynasty.txt	Did Sima Qian describe all events about Shang dynasty in detail?	No	H
/chinese_dynasties/Shang_dynasty.txt	What is the cause that let Zhou defeat Di Xin's army?	Di Xin's army and equipped slaved betrayed Di Xin by joining Zhou	H
/languages/Mandarin_language.txt	How many major groups of dialects about Mandarin in total have been recognized?	10	H
/languages/Mandarin_language.txt	Which dialect was settled as the standard national language?	Beijing dialect	H
/languages/Mandarin_language.txt	Is the Mandarin used as the daily language in Hong Kong and Macau?	No	H
/languages/Mandarin_language.txt	Does Mainland China and Taiwan have the same written forms of Standard Chinese?	No	H
/languages/Mandarin_language.txt	Which dialect does the Manchu people speak?	Xibe	H
/languages/Mandarin_language.txt	Which area in China has relatively uniform dialects?	Southwest	H
/languages/Mandarin_language.txt	What is the result as CCP adopted the language policy for pushing the usage of Standard Mandarin?	Mandarin is now widespread throughout the country	H
/languages/Mandarin_language.txt	Which two regions in China continue their local Chinese as the primary medium of communication despite CCP's language policy?	Guangdong and Tibet	H
/languages/Mandarin_language.txt	To meet Chinese government's goal, how much more in percentage of Chinese population should speak Standard Mandarin between 2020 and 2025?	5	H
/languages/Mandarin_language.txt	Did Mandarin speakers live around southeast cost engaged a lot in overseas emigration before late 20th century?	Yes	H
